FECHA;FESTIVO;DIA DE LA SEMANA
2021-11-16;NO;Martes
2021-11-17;NO;Miercoles
2021-11-18;NO;Jueves
2021-11-19;NO;Viernes
2021-11-20;NO;Sabado
2021-11-21;SI;Domingo
2021-11-22;NO;Lunes
2021-11-23;NO;Martes
2021-11-24;NO;Miercoles
2021-11-25;NO;Jueves
2021-11-26;NO;Viernes
2021-11-27;NO;Sabado
2021-11-28;SI;Domingo
2021-11-29;NO;Lunes
2021-11-30;NO;Martes
2021-12-01;NO;Miercoles
2021-12-02;NO;Jueves
2021-12-03;NO;Viernes
2021-12-04;NO;Sabado
2021-12-05;SI;Domingo
2021-12-06;SI;Lunes
2021-12-07;NO;Martes
2021-12-08;SI;Miercoles
2021-12-09;NO;Jueves
2021-12-10;NO;Viernes
2021-12-11;NO;Sabado
2021-12-12;SI;Domingo
2021-12-13;NO;Lunes
2021-12-14;NO;Martes
2021-12-15;NO;Miercoles
2021-12-16;NO;Jueves
2021-12-17;NO;Viernes
2021-12-18;NO;Sabado
2021-12-19;SI;Domingo
2021-12-20;NO;Lunes
2021-12-21;NO;Martes
2021-12-22;NO;Miercoles
2021-12-23;NO;Jueves
2021-12-24;NO;Viernes
2021-12-25;SI;Sabado
2021-12-26;NO;Domingo
2021-12-27;NO;Lunes
2021-12-28;NO;Martes
2021-12-29;NO;Miercoles
2021-12-30;NO;Jueves
2021-12-31;NO;Viernes
2022-01-01;SI;Sabado
2022-01-02;SI;Domingo
2022-01-03;NO;Lunes
2022-01-04;NO;Martes
2022-01-05;NO;Miercoles
2022-01-06;SI;Jueves
2022-01-07;NO;Viernes
2022-01-08;NO;Sabado
2022-01-09;SI;Domingo
2022-01-10;NO;Lunes
2022-01-11;NO;Martes
2022-01-12;NO;Miercoles
2022-01-13;NO;Jueves
2022-01-14;NO;Viernes
2022-01-15;NO;Sabado
2022-01-16;SI;Domingo
2022-01-17;NO;Lunes
2022-01-18;NO;Martes
2022-01-19;NO;Miercoles
2022-01-20;NO;Jueves
2022-01-21;NO;Viernes
2022-01-22;NO;Sabado
2022-01-23;SI;Domingo
2022-01-24;NO;Lunes
2022-01-25;NO;Martes
2022-01-26;NO;Miercoles
2022-01-27;NO;Jueves
2022-01-28;NO;Viernes
2022-01-29;NO;Sabado
2022-01-30;SI;Domingo
